config_section,config_key,asset_file,pixel_size,stock_interface_element
root,themeCover,cover.png,320x320,Tile shown in Settings > Change Theme picker
root,desktopWallpaper,desk.png,320x240,Home screen background (behind the icon grid)
root,globalWallpaper,global.png,320x240,"Background for every other screen: lists, settings, player"
root,desktopMask,mask.png,320x240,Overlay drawn on top of the home screen (vignette + status scrim)
root,fontFamily,,,Global TrueType font override
itemConfig,itemConfig.itemTextColor,#D8DEE5,,"List row label, unselected"
itemConfig,itemConfig.itemSelectedTextColor,#FFFFFF,,"List row label, selected"
itemConfig,itemConfig.itemBackground,row_normal.png,640x91,"List row plate, unselected"
itemConfig,itemConfig.itemSelectedBackground,row_selected.png,640x91,"List row plate, selected (the moving highlight)"
itemConfig,itemConfig.itemRightArrow,arrow_right.png,28x28,Drill-down chevron at the right edge of a row
dialogConfig,dialogConfig.dialogOptionBackground,dialog_no_selected.png,88x46,"Pop-up option button, unselected"
dialogConfig,dialogConfig.dialogOptionTextColor,#D8DEE5,,"Pop-up option label, unselected"
dialogConfig,dialogConfig.dialogOptionSelectedBackground,dialog_selected.png,88x46,"Pop-up option button, selected"
dialogConfig,dialogConfig.dialogOptionSelectedTextColor,#FFFFFF,,"Pop-up option label, selected"
dialogConfig,dialogConfig.dialogBackgroundColor,#E6101317,,Pop-up panel fill (ARGB supported)
dialogConfig,dialogConfig.dialogTextColor,#FFFFFF,,Pop-up title and body text
menuConfig,menuConfig.menuBackgroundColor,#0F1216,,Main menu backdrop colour
menuConfig,menuConfig.menuItemBackground,row_normal.png,640x91,"Menu row plate, unselected"
menuConfig,menuConfig.menuItemTextColor,#D8DEE5,,"Menu row label, unselected"
menuConfig,menuConfig.menuItemSelectedBackground,row_selected.png,640x91,"Menu row plate, selected"
menuConfig,menuConfig.menuItemSelectedTextColor,#FFFFFF,,"Menu row label, selected"
fileConfig,fileConfig.folderIcon,folder.png,64x64,Folder entry in the file browser
fileConfig,fileConfig.musicIcon,music_file.png,64x64,Audio file entry in the file browser
statusConfig,statusConfig.playing,playing.png,22x15,Status bar: music playing
statusConfig,statusConfig.audiobookPlaying,audiobook_playing.png,22x15,Status bar: audiobook playing
statusConfig,statusConfig.pause,pause.png,22x15,Status bar: paused
